year,month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2010,1,1,A,1152,1145,1342,18502
2010,1,1,B,687,679,883,19190
2010,1,1,C,173,173,265,19001
2010,1,1,D,373,365,509,889
2010,1,1,E,586,567,1011,19889
2010,1,2,A,1151,1149,1673,20501
2010,1,2,B,717,717,1105,22400
2010,1,2,C,181,173,280,20090
2010,1,2,D,378,378,551,852
2010,1,2,E,588,579,1322,21899
2010,2,1,A,1154,1153,1326,19989
2010,2,1,B,693,690,930,23180
2010,2,1,C,165,162,250,21390
2010,2,1,D,371,349,525,852
2010,2,1,E,601,596,1069,22401
2010,2,2,A,1148,1148,1493,20340
2010,2,2,B,685,658,956,23889
2010,2,2,C,173,170,285,23501
2010,2,2,D,363,355,472,1001
2010,2,2,E,590,587,1255,24229
2010,3,1,A,1148,1141,1758,20802
2010,3,1,B,688,667,1087,26389
2010,3,1,C,168,164,257,27001
2010,3,1,D,385,383,467,1159
2010,3,1,E,587,575,1184,27590
2010,3,2,A,1146,1137,2183,28389
2010,3,2,B,711,699,1207,36089
2010,3,2,C,168,141,341,32890
2010,3,2,D,371,368,495,1200
2010,3,2,E,584,554,1507,42001
2010,4,1,A,705,597,1379,34001
2010,4,1,B,571,571,858,45501
2010,4,1,C,180,167,329,36511
2010,4,1,D,338,334,409,1221
2010,4,1,E,372,328,856,49000
2010,4,2,A,706,704,1242,30000
2010,4,2,B,561,549,896,40001
2010,4,2,C,203,203,298,35556
2010,4,2,D,339,311,383,1253
2010,4,2,E,390,383,709,43003
2010,5,1,A,806,798,1294,26102
2010,5,1,B,550,547,869,38000
2010,5,1,C,189,187,329,32501
2010,5,1,D,340,317,415,1252
2010,5,1,E,404,403,857,39002
2010,5,2,A,699,697,1036,27389
2010,5,2,B,561,553,715,34600
2010,5,2,C,176,170,296,29389
2010,5,2,D,364,360,468,1312
2010,5,2,E,367,365,608,39000
2010,6,1,A,700,676,893,29501
2010,6,1,B,557,557,671,35909
2010,6,1,C,177,176,277,31389
2010,6,1,D,351,347,476,1320
2010,6,1,E,399,399,660,41010
2010,6,2,A,699,697,902,31510
2010,6,2,B,557,554,720,39911
2010,6,2,C,182,175,253,31689
2010,6,2,D,340,339,376,1454
2010,6,2,E,362,359,682,41006
2010,7,1,A,700,676,893,29501
2010,7,1,B,557,557,671,35909
2010,7,1,C,177,176,277,31389
2010,7,1,D,351,347,476,1320
2010,7,1,E,399,399,660,41010
2010,7,2,A,699,691,967,36162
2010,7,2,B,552,548,890,42889
2010,7,2,C,183,182,285,30601
2010,7,2,D,337,334,372,1290
2010,7,2,E,363,357,725,43565
2010,8,1,A,622,589,786,32104
2010,8,1,B,479,479,662,43334
2010,8,1,C,205,205,284,30112
2010,8,1,D,336,326,384,1301
2010,8,1,E,309,308,594,42901
2010,8,2,A,606,606,975,29000
2010,8,2,B,482,472,683,42810
2010,8,2,C,206,205,275,30002
