year,university,school,degree,variable,value
2013,Nanyang Technological University,Arts and Social Sciences,"Art, Design & Media",employment_rate_overall,81.6
2013,Nanyang Technological University,Arts and Social Sciences,"Art, Design & Media",basic_monthly_median,2500
2013,Nanyang Technological University,Arts and Social Sciences,Chinese,employment_rate_overall,85.1
2013,Nanyang Technological University,Arts and Social Sciences,Chinese,basic_monthly_median,2800
2013,Nanyang Technological University,Arts and Social Sciences,Communication Studies,employment_rate_overall,89.4
2013,Nanyang Technological University,Arts and Social Sciences,Communication Studies,basic_monthly_median,2930
2013,Nanyang Technological University,Arts and Social Sciences,Economics,employment_rate_overall,89.9
2013,Nanyang Technological University,Arts and Social Sciences,Economics,basic_monthly_median,3000
2013,Nanyang Technological University,Arts and Social Sciences,English,employment_rate_overall,82.7
2013,Nanyang Technological University,Arts and Social Sciences,English,basic_monthly_median,3000
2013,Nanyang Technological University,Arts and Social Sciences,Linguistics and Multilingual Studies,employment_rate_overall,90.6
2013,Nanyang Technological University,Arts and Social Sciences,Linguistics and Multilingual Studies,basic_monthly_median,2600
2013,Nanyang Technological University,Arts and Social Sciences,Psychology,employment_rate_overall,82.4
2013,Nanyang Technological University,Arts and Social Sciences,Psychology,basic_monthly_median,3000
2013,Nanyang Technological University,Arts and Social Sciences,Sociology,employment_rate_overall,74.4
2013,Nanyang Technological University,Arts and Social Sciences,Sociology,basic_monthly_median,3000
2014,Nanyang Technological University,Arts and Social Sciences,"Art, Design & Media",employment_rate_overall,80
2014,Nanyang Technological University,Arts and Social Sciences,"Art, Design & Media",basic_monthly_median,2600
2014,Nanyang Technological University,Arts and Social Sciences,Chinese,employment_rate_overall,86.8
2014,Nanyang Technological University,Arts and Social Sciences,Chinese,basic_monthly_median,3000
2014,Nanyang Technological University,Arts and Social Sciences,Communication Studies,employment_rate_overall,86.7
2014,Nanyang Technological University,Arts and Social Sciences,Communication Studies,basic_monthly_median,2800
2014,Nanyang Technological University,Arts and Social Sciences,Economics,employment_rate_overall,88.7
2014,Nanyang Technological University,Arts and Social Sciences,Economics,basic_monthly_median,3075
2014,Nanyang Technological University,Arts and Social Sciences,English,employment_rate_overall,87
2014,Nanyang Technological University,Arts and Social Sciences,English,basic_monthly_median,3000
2014,Nanyang Technological University,Arts and Social Sciences,Linguistics and Multilingual Studies,employment_rate_overall,85.7
2014,Nanyang Technological University,Arts and Social Sciences,Linguistics and Multilingual Studies,basic_monthly_median,3000
2014,Nanyang Technological University,Arts and Social Sciences,Psychology,employment_rate_overall,66.7
2014,Nanyang Technological University,Arts and Social Sciences,Psychology,basic_monthly_median,3100
2014,Nanyang Technological University,Arts and Social Sciences,Sociology,employment_rate_overall,73.2
2014,Nanyang Technological University,Arts and Social Sciences,Sociology,basic_monthly_median,3000
2015,Nanyang Technological University,Arts and Social Sciences,"Art, Design & Media",employment_rate_overall,79.3
2015,Nanyang Technological University,Arts and Social Sciences,"Art, Design & Media",basic_monthly_median,2800
2015,Nanyang Technological University,Arts and Social Sciences,Chinese,employment_rate_overall,81.8
2015,Nanyang Technological University,Arts and Social Sciences,Chinese,basic_monthly_median,3000
2015,Nanyang Technological University,Arts and Social Sciences,Communication Studies,employment_rate_overall,85.1
2015,Nanyang Technological University,Arts and Social Sciences,Communication Studies,basic_monthly_median,2900
2015,Nanyang Technological University,Arts and Social Sciences,Economics,employment_rate_overall,87.4
2015,Nanyang Technological University,Arts and Social Sciences,Economics,basic_monthly_median,3200
2015,Nanyang Technological University,Arts and Social Sciences,English,employment_rate_overall,88
2015,Nanyang Technological University,Arts and Social Sciences,English,basic_monthly_median,3000
2015,Nanyang Technological University,Arts and Social Sciences,Linguistics And Multilingual Studies,employment_rate_overall,88.4
2015,Nanyang Technological University,Arts and Social Sciences,Linguistics And Multilingual Studies,basic_monthly_median,3000
2015,Nanyang Technological University,Arts and Social Sciences,Psychology,employment_rate_overall,73.3
2015,Nanyang Technological University,Arts and Social Sciences,Psychology,basic_monthly_median,3121
2015,Nanyang Technological University,Arts and Social Sciences,Sociology,employment_rate_overall,85.7
2015,Nanyang Technological University,Arts and Social Sciences,Sociology,basic_monthly_median,3000
2013,Nanyang Technological University,Business,Accountancy (3-yr direct Honours Programme),employment_rate_overall,97.1
2013,Nanyang Technological University,Business,Accountancy (3-yr direct Honours Programme),basic_monthly_median,2700
2013,Nanyang Technological University,Business,Accountancy and Business,employment_rate_overall,97.4
2013,Nanyang Technological University,Business,Accountancy and Business,basic_monthly_median,3200
2013,Nanyang Technological University,Business,Business (3-yr direct Honours Programme),employment_rate_overall,90.9
2013,Nanyang Technological University,Business,Business (3-yr direct Honours Programme),basic_monthly_median,3000
2013,Nanyang Technological University,Business,Business and Computing,employment_rate_overall,87.5
2013,Nanyang Technological University,Business,Business and Computing,basic_monthly_median,3400
2014,Nanyang Technological University,Business,Accountancy (3-yr direct Honours Programme),employment_rate_overall,96.6
2014,Nanyang Technological University,Business,Accountancy (3-yr direct Honours Programme),basic_monthly_median,2800
2014,Nanyang Technological University,Business,Accountancy and Business,employment_rate_overall,98.2
2014,Nanyang Technological University,Business,Accountancy and Business,basic_monthly_median,3300
2014,Nanyang Technological University,Business,Business (3-yr direct Honours Programme),employment_rate_overall,89.6
2014,Nanyang Technological University,Business,Business (3-yr direct Honours Programme),basic_monthly_median,3000
2014,Nanyang Technological University,Business,Business and Computing,employment_rate_overall,92.9
2014,Nanyang Technological University,Business,Business and Computing,basic_monthly_median,3400
2015,Nanyang Technological University,Business,Accountancy (3-yr direct Honours Programme),employment_rate_overall,97.3
2015,Nanyang Technological University,Business,Accountancy (3-yr direct Honours Programme),basic_monthly_median,2850
2015,Nanyang Technological University,Business,Accountancy and Business,employment_rate_overall,98.6
2015,Nanyang Technological University,Business,Accountancy and Business,basic_monthly_median,3500
2015,Nanyang Technological University,Business,Business (3-yr direct Honours Programme),employment_rate_overall,92.2
2015,Nanyang Technological University,Business,Business (3-yr direct Honours Programme),basic_monthly_median,3100
2015,Nanyang Technological University,Business,Business and Computing,employment_rate_overall,100
2015,Nanyang Technological University,Business,Business and Computing,basic_monthly_median,4184
2013,Nanyang Technological University,Engineering,Aerospace Engineering,employment_rate_overall,95.3
2013,Nanyang Technological University,Engineering,Aerospace Engineering,basic_monthly_median,3500
2013,Nanyang Technological University,Engineering,Bioengineering,employment_rate_overall,81.3
2013,Nanyang Technological University,Engineering,Bioengineering,basic_monthly_median,2900
