Year,Month,Total,Malays,Chinese,Indians,Others
1960,Jan,4981,838,3589,467,87
1960,Feb,4596,836,3290,377,93
1960,Mar,4964,849,3639,384,92
1960,Apr,4904,843,3610,364,87
1960,May,5244,872,3868,392,112
1960,Jun,5178,892,3760,449,77
1960,Jul,5115,846,3738,423,108
1960,Aug,5331,933,3855,441,102
1960,Sep,5183,894,3740,452,97
1960,Oct,5752,975,4210,455,112
1960,Nov,5226,850,3845,440,91
1960,Dec,5301,949,3820,440,92
1961,Jan,5022,931,3584,401,106
1961,Feb,4452,809,3163,411,69
1961,Mar,4928,903,3529,406,90
1961,Apr,4820,923,3423,383,91
1961,May,4972,905,3574,393,100
1961,Jun,4960,871,3600,393,96
1961,Jul,5045,918,3635,398,94
1961,Aug,5138,966,3703,390,79
1961,Sep,5002,929,3534,411,128
1961,Oct,5247,953,3775,419,100
1961,Nov,5312,950,3913,354,94
1961,Dec,5032,932,3626,400,74
1962,Jan,4884,911,3496,388,89
1962,Feb,4300,871,2992,359,78
1962,Mar,4814,907,3426,396,85
1962,Apr,4812,990,3367,371,84
1962,May,4957,917,3545,404,91
1962,Jun,4769,870,3439,370,90
1962,Jul,4906,929,3443,421,113
1962,Aug,4921,926,3529,380,86
1962,Sep,5129,991,3623,406,109
1962,Oct,5231,961,3754,402,114
1962,Nov,5327,984,3855,381,106
1962,Dec,4927,1000,3464,371,92
1963,Jan,4813,968,3374,385,86
1963,Feb,4165,794,2922,353,96
1963,Mar,4687,878,3375,346,88
1963,Apr,4836,908,3479,371,78
1963,May,4966,973,3518,375,99
1963,Jun,4929,995,3470,376,88
1963,Jul,4948,958,3493,400,97
1963,Aug,5039,963,3587,389,100
1963,Sep,5049,982,3593,382,92
1963,Oct,5761,1078,4151,435,97
1963,Nov,5318,1059,3735,416,108
1963,Dec,5019,1012,3517,386,104
1964,Jan,4970,1021,3482,391,76
1964,Feb,4448,909,3088,366,85
1964,Mar,4908,973,3465,396,74
1964,Apr,4756,972,3323,383,78
1964,May,4839,1029,3352,370,88
1964,Jun,4746,925,3311,418,92
1964,Jul,4767,1030,3316,344,77
1964,Aug,4913,957,3482,399,75
1964,Sep,4881,932,3465,387,97
1964,Oct,5073,977,3643,371,82
1964,Nov,5131,995,3662,382,92
1964,Dec,4785,989,3348,365,83
1965,Jan,4619,956,3233,361,69
1965,Feb,4028,789,2842,335,62
1965,Mar,4563,893,3239,343,88
1965,Apr,4439,855,3126,370,88
1965,May,4705,957,3257,396,95
1965,Jun,4430,883,3113,363,71
1965,Jul,4781,929,3384,375,93
1965,Aug,4739,916,3377,377,69
1965,Sep,4848,873,3527,351,97
1965,Oct,5093,1048,3589,382,74
1965,Nov,4797,961,3370,378,87
1965,Dec,4683,948,3280,374,80
1966,Jan,4631,937,3233,381,79
1966,Feb,4140,832,2957,285,66
1966,Mar,4693,978,3261,377,77
1966,Apr,4384,889,3035,386,74
1966,May,4713,1042,3242,355,74
1966,Jun,4618,888,3252,389,89
1966,Jul,4541,868,3190,393,90
1966,Aug,4497,893,3168,362,74
1966,Sep,4568,890,3198,378,102
1966,Oct,4962,983,3517,368,94
1966,Nov,4374,884,3056,352,82
1966,Dec,4559,902,3257,317,83
1967,Jan,4200,890,2899,324,87
1967,Feb,3614,773,2483,304,54
1967,Mar,4247,829,2982,352,84
1967,Apr,4161,850,2902,329,80
1967,May,4096,848,2854,317,77
1967,Jun,4137,809,2922,323,83
1967,Jul,4333,847,3084,323,79
1967,Aug,4357,810,3112,341,94
1967,Sep,4380,793,3187,318,82
1967,Oct,4444,860,3169,310,105
1967,Nov,4383,729,3251,316,87
1967,Dec,4208,811,3005,309,83
1968,Jan,4016,755,2885,288,88
1968,Feb,3636,638,2640,283,75
1968,Mar,3794,695,2736,279,84
1968,Apr,3762,693,2732,259,78
1968,May,3895,711,2814,292,78
1968,Jun,3774,738,2696,265,75
1968,Jul,3979,774,2854,264,87
1968,Aug,4092,748,2989,276,79
1968,Sep,4013,755,2908,272,77
1968,Oct,4338,730,3178,327,102
1968,Nov,3954,720,2897,257,80
1968,Dec,3988,710,2919,277,82
1969,Jan,3744,633,2768,277,65
1969,Feb,3296,556,2438,227,75
1969,Mar,3670,638,2672,282,78
1969,Apr,3579,649,2598,259,73
1969,May,3572,648,2554,292,78
1969,Jun,3395,640,2418,251,85
1969,Jul,3799,617,2829,266,87
1969,Aug,3914,611,2901,310,92
1969,Sep,3891,613,2924,278,75
1969,Oct,4082,658,3042,282,100
1969,Nov,3904,594,2958,259,93
1969,Dec,3716,563,2771,292,90
1970,Jan,3484,558,2581,252,93
1970,Feb,3185,486,2409,213,76
1970,Mar,3574,511,2713,246,104
1970,Apr,3645,588,2743,226,88
1970,May,3804,624,2824,261,95
1970,Jun,3716,646,2722,258,89
1970,Jul,3830,642,2859,230,99
1970,Aug,4072,646,3065,282,79
1970,Sep,4117,637,3115,273,92
1970,Oct,4199,675,3126,286,112
1970,Nov,4250,679,3174,290,107
1970,Dec,4058,624,3079,239,116
1971,Jan,3768,573,2851,264,80
1971,Feb,3374,481,2611,214,68
1971,Mar,3844,581,2903,260,100
1971,Apr,3746,599,2816,248,83
1971,May,3847,670,2824,268,85
1971,Jun,3837,622,2873,252,90
1971,Jul,3958,608,2989,268,93
1971,Aug,3897,566,2990,234,107
1971,Sep,4141,646,3102,267,126
1971,Oct,4403,665,3351,283,104
1971,Nov,4140,634,3140,275,91
1971,Dec,4133,601,3158,257,117
1972,Jan,3706,564,2785,258,99
1972,Feb,3559,508,2751,225,75
1972,Mar,4033,624,3055,251,103
1972,Apr,3837,637,2894,208,98
1972,May,4050,665,3066,236,83
1972,Jun,4000,628,3026,264,82
1972,Jul,4110,603,3144,275,88
1972,Aug,4357,688,3290,272,107
1972,Sep,4550,702,3432,294,122
1972,Oct,4690,696,3604,275,115
1972,Nov,4434,627,3412,281,114
1972,Dec,4352,652,3338,268,94
1973,Jan,4110,605,3161,246,96
1973,Feb,3646,546,2817,190,92
1973,Mar,3950,550,3099,216,85
1973,Apr,3786,582,2894,226,82
1973,May,3814,591,2898,227,98
1973,Jun,4022,580,3113,241,87
1973,Jul,4165,591,3222,252,100
1973,Aug,4183,592,3233,246,112
1973,Sep,4162,595,3210,241,116
1973,Oct,4445,620,3446,262,117
1973,Nov,4015,509,3144,256,106
1973,Dec,3971,542,3085,219,125
1974,Jan,3714,495,2907,211,100
1974,Feb,3238,429,2519,194,96
1974,Mar,3566,501,2731,227,107
1974,Apr,3418,532,2585,197,104
1974,May,3543,501,2727,195,119
1974,Jun,3632,503,2758,252,119
1974,Jul,3694,515,2837,231,111
1974,Aug,3778,559,2876,219,124
1974,Sep,3855,572,2948,215,120
1974,Oct,3958,568,3040,236,114
1974,Nov,3421,503,2607,206,105
1974,Dec,3451,498,2591,255,107
1975,Jan,3181,492,2369,212,108
1975,Feb,2951,387,2283,177,104
1975,Mar,3412,512,2605,173,122
1975,Apr,3415,472,2650,187,106
1975,May,3399,514,2566,208,111
1975,Jun,3300,484,2511,181,123
1975,Jul,3344,490,2541,212,101
1975,Aug,3262,445,2500,212,105
1975,Sep,3288,466,2538,179,105
1975,Oct,3591,491,2759,213,128
1975,Nov,3437,438,2671,209,119
1975,Dec,3368,456,2642,175,95
1976,Jan,3141,436,2425,181,98
1976,Feb,3149,420,2441,168,120
1976,Mar,3394,439,2675,172,108
1976,Apr,3298,469,2546,173,110
1976,May,3511,477,2721,207,106
1976,Jun,3349,430,2593,218,108
1976,Jul,3579,443,2841,172,123
1976,Aug,3728,488,2935,199,106
1976,Sep,3954,501,3107,217,127
1976,Oct,4156,486,3350,195,125
1976,Nov,3749,419,2990,225,115
1976,Dec,3775,462,3000,197,116
1977,Jan,3206,425,2494,180,107
1977,Feb,2672,334,2083,155,100
1977,Mar,3108,433,2388,181,105
1977,Apr,2961,453,2222,163,122
1977,May,3073,402,2382,189,100
1977,Jun,3117,454,2379,177,107
1977,Jul,3091,440,2326,216,109
1977,Aug,3257,490,2471,203,93
1977,Sep,3388,471,2611,198,108
1977,Oct,3689,510,2837,211,131
1977,Nov,3413,460,2635,212,106
1977,Dec,3389,492,2574,222,101
1978,Jan,2959,394,2246,203,116
1978,Feb,2670,363,2033,177,97
1978,Mar,3199,460,2474,179,86
1978,Apr,3020,461,2282,183,94
1978,May,3103,449,2365,192,97
1978,Jun,3224,471,2470,185,98
1978,Jul,3405,479,2605,212,109
1978,Aug,3507,489,2676,227,115
1978,Sep,3551,502,2737,212,100
1978,Oct,3696,506,2834,238,118
1978,Nov,3678,460,2875,224,119
1978,Dec,3429,489,2580,240,119
1979,Jan,3163,493,2362,200,108
1979,Feb,2972,399,2271,185,117
1979,Mar,3311,451,2542,202,116
1979,Apr,3101,442,2368,174,117
1979,May,3194,495,2378,218,103
1979,Jun,3284,459,2512,211,102
1979,Jul,3294,460,2504,213,117
1979,Aug,3677,475,2853,221,127
1979,Sep,3706,515,2794,265,132
1979,Oct,3982,562,3045,249,126
1979,Nov,3514,502,2647,250,115
1979,Dec,3581,502,2649,296,134
1980,Jan,3137,473,2333,224,107
1980,Feb,3026,498,2220,206,102
1980,Mar,3319,544,2399,260,116
1980,Apr,3087,502,2257,208,120
1980,May,3164,556,2252,226,130
1980,Jun,3163,528,2302,222,111
1980,Jul,3613,597,2658,222,136
1980,Aug,3780,600,2755,262,162
1980,Sep,3790,641,2763,249,137
1980,Oct,3991,614,2944,283,150
1980,Nov,3656,565,2680,285,126
1980,Dec,3491,536,2579,236,140
1981,Jan,3258,537,2375,231,115
1981,Feb,2984,467,2144,222,149
1981,Mar,3244,529,2378,228,109
1981,Apr,3200,558,2291,210,141
1981,May,3456,657,2428,239,132
1981,Jun,3499,600,2535,249,115
1981,Jul,3535,561,2567,256,151
1981,Aug,3659,635,2622,247,155
