mobile1_id,mobile2_id,date,i_stime,i_etime
22,31,2006-08-20,14:27:44,14:27:44
22,31,2006-08-20,14:27:56,14:27:56
31,44,2006-08-20,14:28:21,14:28:34
22,31,2006-08-20,14:28:43,14:28:43
22,44,2006-08-20,14:28:57,14:28:57
31,44,2006-08-20,14:29:10,14:29:10
22,44,2006-08-20,14:29:14,14:29:14
22,31,2006-08-20,14:29:21,14:29:21
31,44,2006-08-20,14:29:27,14:29:27
34,40,2006-08-20,14:29:29,14:29:29
34,40,2006-08-20,14:29:37,14:29:53
40,46,2006-08-20,14:29:39,14:29:52
31,44,2006-08-20,14:29:40,14:30:00
22,31,2006-08-20,14:29:42,14:29:57
22,44,2006-08-20,14:29:42,14:30:19
34,46,2006-08-20,14:29:52,14:30:03
22,31,2006-08-20,14:30:00,14:30:14
31,44,2006-08-20,14:30:01,14:30:01
34,40,2006-08-20,14:30:03,14:30:03
22,31,2006-08-20,14:30:22,14:30:22
31,44,2006-08-20,14:30:32,14:30:44
34,40,2006-08-20,14:30:33,14:30:43
31,46,2006-08-20,14:30:44,14:30:44
34,44,2006-08-20,14:30:50,14:32:57
31,46,2006-08-20,14:30:55,14:30:55
44,46,2006-08-20,14:30:55,14:30:55
31,34,2006-08-20,14:30:57,14:30:57
31,40,2006-08-20,14:31:03,14:31:03
34,46,2006-08-20,14:31:08,14:32:12
31,40,2006-08-20,14:31:09,14:31:09
40,44,2006-08-20,14:31:09,14:31:09
31,44,2006-08-20,14:31:21,14:31:21
40,44,2006-08-20,14:31:21,14:31:21
44,46,2006-08-20,14:31:21,14:31:21
44,46,2006-08-20,14:31:23,14:31:23
31,34,2006-08-20,14:31:27,14:31:54
31,40,2006-08-20,14:31:34,14:31:54
31,44,2006-08-20,14:31:34,14:31:34
31,46,2006-08-20,14:31:40,14:31:40
40,44,2006-08-20,14:31:43,14:32:28
34,40,2006-08-20,14:31:46,14:31:46
40,46,2006-08-20,14:31:52,14:31:52
31,46,2006-08-20,14:31:54,14:31:54
33,48,2006-08-20,14:31:58,14:31:58
44,46,2006-08-20,14:31:58,14:31:58
31,40,2006-08-20,14:32:00,14:32:47
40,46,2006-08-20,14:32:00,14:32:00
45,46,2006-08-20,14:32:14,14:32:14
40,45,2006-08-20,14:32:16,14:32:16
34,45,2006-08-20,14:32:17,14:32:53
33,48,2006-08-20,14:32:18,14:32:18
31,34,2006-08-20,14:32:27,14:32:54
31,44,2006-08-20,14:32:27,14:32:27
31,50,2006-08-20,14:32:27,14:32:41
31,44,2006-08-20,14:32:28,14:32:28
33,48,2006-08-20,14:32:28,14:32:28
34,40,2006-08-20,14:32:30,14:32:54
40,50,2006-08-20,14:32:30,14:33:38
45,50,2006-08-20,14:32:33,14:32:33
34,50,2006-08-20,14:32:37,14:33:20
31,45,2006-08-20,14:32:41,14:32:41
34,46,2006-08-20,14:32:42,14:33:24
45,46,2006-08-20,14:32:42,14:33:29
46,50,2006-08-20,14:32:42,14:32:55
31,50,2006-08-20,14:32:46,14:32:46
44,50,2006-08-20,14:32:46,14:33:29
40,44,2006-08-20,14:32:57,14:33:29
40,45,2006-08-20,14:32:59,14:33:11
45,50,2006-08-20,14:33:06,14:33:40
46,50,2006-08-20,14:33:06,14:33:06
31,44,2006-08-20,14:33:10,14:33:22
31,50,2006-08-20,14:33:10,14:33:38
40,46,2006-08-20,14:33:13,14:33:13
31,40,2006-08-20,14:33:22,14:33:22
31,46,2006-08-20,14:33:22,14:33:22
34,40,2006-08-20,14:33:24,14:33:41
34,45,2006-08-20,14:33:24,14:33:24
30,45,2006-08-20,14:33:29,14:33:29
31,44,2006-08-20,14:33:29,14:33:29
34,44,2006-08-20,14:33:29,14:33:29
34,45,2006-08-20,14:33:29,14:33:29
44,45,2006-08-20,14:33:29,14:33:40
31,40,2006-08-20,14:33:31,14:33:31
40,44,2006-08-20,14:33:31,14:33:31
31,46,2006-08-20,14:33:34,14:33:34
30,34,2006-08-20,14:33:36,14:33:36
30,50,2006-08-20,14:33:36,14:33:50
46,50,2006-08-20,14:33:38,14:33:38
40,45,2006-08-20,14:33:40,14:33:40
34,49,2006-08-20,14:33:41,14:33:41
34,50,2006-08-20,14:33:41,14:33:41
49,50,2006-08-20,14:33:41,14:33:55
30,31,2006-08-20,14:33:42,14:33:42
30,46,2006-08-20,14:33:50,14:34:03
42,50,2006-08-20,14:33:50,14:33:50
30,40,2006-08-20,14:33:52,14:33:52
40,42,2006-08-20,14:33:52,14:33:52
40,50,2006-08-20,14:33:52,14:34:05
34,45,2006-08-20,14:33:53,14:33:53
20,45,2006-08-20,14:33:55,14:34:08
31,49,2006-08-20,14:33:55,14:34:56
34,49,2006-08-20,14:33:55,14:34:13
45,49,2006-08-20,14:33:55,14:33:55
34,45,2006-08-20,14:33:59,14:33:59
45,49,2006-08-20,14:33:59,14:33:59
20,33,2006-08-20,14:34:01,14:34:01
34,44,2006-08-20,14:34:03,14:34:03
34,40,2006-08-20,14:34:05,14:34:25
40,44,2006-08-20,14:34:05,14:34:05
20,49,2006-08-20,14:34:08,14:34:13
27,32,2006-08-20,14:34:08,14:34:08
40,50,2006-08-20,14:34:09,14:34:26
40,44,2006-08-20,14:34:15,14:34:15
42,46,2006-08-20,14:34:15,14:34:15
30,42,2006-08-20,14:34:18,14:34:18
20,45,2006-08-20,14:34:19,14:34:19
33,45,2006-08-20,14:34:19,14:34:19
30,46,2006-08-20,14:34:22,14:34:31
34,46,2006-08-20,14:34:25,14:34:25
27,29,2006-08-20,14:34:40,14:34:40
27,32,2006-08-20,14:34:40,14:34:40
34,50,2006-08-20,14:34:40,14:34:40
30,42,2006-08-20,14:34:42,14:35:07
31,33,2006-08-20,14:34:44,14:35:16
33,45,2006-08-20,14:34:44,14:34:44
40,50,2006-08-20,14:34:45,14:34:45
34,49,2006-08-20,14:34:46,14:34:46
42,46,2006-08-20,14:34:48,14:34:48
29,41,2006-08-20,14:34:54,14:34:54
30,40,2006-08-20,14:34:58,14:34:58
