Year,Quarter,Town,3-room,4-room,5-room,Executive
2014,Q2,Ang Mo Kio,338000,465000,*,-
2014,Q2,Bedok,320000,425000,614000,*
2014,Q2,Bishan,*,525000,*,*
2014,Q2,Bukit Batok,301500,420000,*,*
2014,Q2,Bukit Merah,378000,660000,786500,-
2014,Q2,Bukit Panjang,312500,388000,461500,*
2014,Q2,Bukit Timah,*,-,*,-
2014,Q2,Central,432500,*,*,-
2014,Q2,Choa Chu Kang,*,380000,468000,*
2014,Q2,Clementi,365000,520000,*,*
2014,Q2,Geylang,300000,*,*,*
2014,Q2,Hougang,318000,415000,513500,*
2014,Q2,Jurong East,320000,415000,*,*
2014,Q2,Jurong West,305000,390000,470000,572500
2014,Q2,Kallang/Whampoa,350000,570000,670000,*
2014,Q2,Marine Parade,*,*,*,-
2014,Q2,Pasir Ris,*,422300,501500,629000
2014,Q2,Punggol,-,433000,476500,*
2014,Q2,Queenstown,368000,705000,*,-
2014,Q2,Sembawang,-,396500,448000,*
2014,Q2,Sengkang,*,448000,479500,*
2014,Q2,Serangoon,360000,475000,*,*
2014,Q2,Tampines,347500,445000,532000,693800
2014,Q2,Toa Payoh,340000,540000,*,*
2014,Q2,Woodlands,283000,380000,436300,600000
2014,Q2,Yishun,305000,368000,475000,*
2014,Q1,Ang Mo Kio,355000,478000,635000,*
2014,Q1,Bedok,335000,435000,575000,*
2014,Q1,Bishan,*,516500,*,*
2014,Q1,Bukit Batok,320000,418000,585000,*
2014,Q1,Bukit Merah,390000,645000,780000,-
2014,Q1,Bukit Panjang,*,400000,478400,*
2014,Q1,Bukit Timah,*,*,*,*
2014,Q1,Central,*,*,-,-
2014,Q1,Choa Chu Kang,*,395000,488000,*
2014,Q1,Clementi,373000,516500,*,*
2014,Q1,Geylang,311500,507900,*,*
2014,Q1,Hougang,325000,431500,521400,*
2014,Q1,Jurong East,323000,*,604000,*
2014,Q1,Jurong West,313000,400000,480000,580000
2014,Q1,Kallang/Whampoa,343000,530000,*,*
2014,Q1,Marine Parade,400000,*,*,-
2014,Q1,Pasir Ris,-,428000,504000,650000
2014,Q1,Punggol,-,462500,506800,*
2014,Q1,Queenstown,357000,700000,*,*
2014,Q1,Sembawang,-,400000,465000,*
2014,Q1,Sengkang,*,440000,495500,597500
2014,Q1,Serangoon,356800,455000,*,*
2014,Q1,Tampines,355000,456500,555000,679400
2014,Q1,Toa Payoh,330000,590000,*,*
2014,Q1,Woodlands,314500,384500,450000,600000
2014,Q1,Yishun,311000,380000,475000,*
2013,Q4,Ang Mo Kio,345000,482000,*,*
2013,Q4,Bedok,332000,446000,559000,*
2013,Q4,Bishan,*,509000,*,*
2013,Q4,Bukit Batok,320000,425300,*,*
2013,Q4,Bukit Merah,393000,650900,759000,-
2013,Q4,Bukit Panjang,*,409000,470000,*
2013,Q4,Bukit Timah,*,-,*,*
2013,Q4,Central,*,*,-,-
2013,Q4,Choa Chu Kang,*,411000,490500,*
2013,Q4,Clementi,350000,517500,*,-
2013,Q4,Geylang,301900,520000,*,*
2013,Q4,Hougang,348500,440000,550000,685000
2013,Q4,Jurong East,331000,439000,*,*
2013,Q4,Jurong West,318900,412300,490000,568000
2013,Q4,Kallang/Whampoa,345000,530000,*,*
2013,Q4,Marine Parade,*,*,*,-
2013,Q4,Pasir Ris,*,440500,510000,650000
2013,Q4,Punggol,-,475500,515000,*
2013,Q4,Queenstown,369000,690000,*,-
2013,Q4,Sembawang,-,410000,473000,*
2013,Q4,Sengkang,*,450000,498000,*
2013,Q4,Serangoon,355500,475000,*,*
2013,Q4,Tampines,365000,457400,550000,*
2013,Q4,Toa Payoh,340000,536500,*,*
2013,Q4,Woodlands,300000,390000,460000,628000
2013,Q4,Yishun,318000,386500,*,*
2013,Q3,Ang Mo Kio,356000,485000,*,*
2013,Q3,Bedok,343500,450000,600000,*
2013,Q3,Bishan,*,545000,*,*
2013,Q3,Bukit Batok,326000,437000,588000,*
2013,Q3,Bukit Merah,398000,652000,782000,-
2013,Q3,Bukit Panjang,*,421000,485000,632900
2013,Q3,Bukit Timah,*,*,*,-
2013,Q3,Central,*,*,*,-
2013,Q3,Choa Chu Kang,*,420900,482500,*
2013,Q3,Clementi,356000,519400,*,*
2013,Q3,Geylang,315000,496000,*,*
2013,Q3,Hougang,343000,445000,536000,*
2013,Q3,Jurong East,337000,438000,*,*
2013,Q3,Jurong West,328000,415000,492000,574000
