Module,Group,Quota,No_of_Bidders,Lowest_Bid,Lowest_Succ_Bid,Highest_Bid,Faculty,newStudent,pAcc,gAcc,Bid_Round,Acad_Yr,Semester
CS1010,SECTIONAL TEACHING 2,2,0,0,0,0,SCIENCE,0,1,0,1A,2010,1
CS1010,SECTIONAL TEACHING 5,2,0,0,0,0,SCIENCE,0,1,0,1A,2010,1
CS1010,SECTIONAL TEACHING 6,1,0,0,0,0,SCIENCE,0,1,0,1A,2010,1
CS1010,SECTIONAL TEACHING 8,3,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1A,2010,1
CS1010,SECTIONAL TEACHING 8,10,0,0,0,0,SCIENCE,0,1,0,1A,2010,1
CS1010,SECTIONAL TEACHING 2,2,1,1,1,1,SCIENCE,0,1,0,1B,2010,1
CS1010,SECTIONAL TEACHING 5,2,0,0,0,0,SCIENCE,0,1,0,1B,2010,1
CS1010,SECTIONAL TEACHING 6,1,0,0,0,0,SCIENCE,0,1,0,1B,2010,1
CS1010,SECTIONAL TEACHING 8,3,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1B,2010,1
CS1010,SECTIONAL TEACHING 8,10,0,0,0,0,SCIENCE,0,1,0,1B,2010,1
CS1010,SECTIONAL TEACHING 2,1,0,0,0,0,SCIENCE,0,1,0,1C,2010,1
CS1010,SECTIONAL TEACHING 2,8,9,200,210,597,SCIENCE,1,1,0,1C,2010,1
CS1010,SECTIONAL TEACHING 2,2,0,0,0,0,SCHOOL OF COMPUTING,2,0,1,1C,2010,1
CS1010,SECTIONAL TEACHING 5,2,2,1,1,333,SCIENCE,0,1,0,1C,2010,1
CS1010,SECTIONAL TEACHING 5,10,13,121,201,351,SCIENCE,1,1,0,1C,2010,1
CS1010,SECTIONAL TEACHING 5,2,0,0,0,0,SCHOOL OF COMPUTING,2,0,1,1C,2010,1
CS1010,SECTIONAL TEACHING 6,1,2,2,111,111,SCIENCE,0,1,0,1C,2010,1
CS1010,SECTIONAL TEACHING 6,4,12,10,340,573,SCIENCE,1,1,0,1C,2010,1
CS1010,SECTIONAL TEACHING 6,2,0,0,0,0,SCHOOL OF COMPUTING,2,0,1,1C,2010,1
CS1010,SECTIONAL TEACHING 8,3,0,0,0,0,ARTS & SOCIAL SCIENCES,0,1,0,1C,2010,1
CS1010,SECTIONAL TEACHING 8,10,2,300,1,2000,SCIENCE,0,1,0,1C,2010,1
CS1010,SECTIONAL TEACHING 8,2,0,0,0,0,ARTS & SOCIAL SCIENCES,1,1,0,1C,2010,1
CS1010,SECTIONAL TEACHING 8,23,28,6,56,302,SCIENCE,1,1,0,1C,2010,1
