Year,Month,Day,Time,North,South,East,West,Central
2013,1,1,0800,21,16,16,18,16
2013,1,1,1200,19,14,14,16,14
2013,1,1,1600,18,24,17,18,18
2013,1,2,0800,21,30,22,26,23
2013,1,2,1200,21,29,22,25,22
2013,1,2,1600,21,19,16,17,13
2013,1,3,0800,24,20,22,19,20
2013,1,3,1200,25,21,23,19,22
2013,1,3,1600,24,21,22,19,20
2013,1,4,0800,23,21,21,18,15
2013,1,4,1200,22,19,20,14,14
2013,1,4,1600,21,21,18,18,14
2013,1,5,0800,21,23,19,21,17
2013,1,5,1200,21,22,21,19,18
2013,1,5,1600,22,21,23,17,19
2013,1,6,0800,26,25,30,20,24
2013,1,6,1200,28,26,30,23,25
2013,1,6,1600,27,31,30,23,25
2013,1,7,0800,31,36,33,27,30
2013,1,7,1200,33,36,36,27,30
2013,1,7,1600,33,30,36,27,30
2013,1,8,0800,31,29,32,33,28
2013,1,8,1200,31,29,31,33,28
2013,1,8,1600,35,29,33,30,30
2013,1,9,0800,34,30,32,26,27
2013,1,9,1200,32,26,32,24,25
2013,1,9,1600,28,21,30,20,23
2013,1,10,0800,23,24,26,24,24
2013,1,10,1200,26,24,26,24,25
2013,1,10,1600,25,24,27,23,25
2013,1,11,0800,24,31,24,25,20
2013,1,11,1200,22,30,23,25,20
2013,1,11,1600,22,23,23,20,20
2013,1,12,0800,29,27,28,27,28
2013,1,12,1200,32,28,30,27,29
2013,1,12,1600,32,29,30,28,29
2013,1,13,0800,28,30,29,27,28
2013,1,13,1200,27,27,28,27,27
2013,1,13,1600,28,28,27,27,28
2013,1,14,0800,29,25,22,24,24
2013,1,14,1200,28,25,23,24,25
2013,1,14,1600,27,24,24,24,25
2013,1,15,0800,29,31,31,29,32
2013,1,15,1200,29,34,31,30,35
2013,1,15,1600,31,35,33,31,36
2013,1,16,0800,33,37,34,35,36
2013,1,16,1200,34,35,35,36,37
2013,1,16,1600,17,18,12,20,12
2013,1,17,0800,37,37,39,39,40
2013,1,17,1200,37,36,39,38,38
2013,1,17,1600,36,35,38,37,38
2013,1,18,0800,32,35,36,33,32
2013,1,18,1200,30,33,33,33,30
2013,1,18,1600,28,26,31,28,27
2013,1,19,0800,22,26,16,26,19
2013,1,19,1200,21,25,14,25,18
2013,1,19,1600,17,18,12,20,12
2013,1,20,0800,22,14,16,16,15
2013,1,20,1200,25,15,19,15,18
2013,1,20,1600,26,17,22,15,20
2013,1,21,0800,20,13,19,16,15
2013,1,21,1200,19,12,18,16,13
2013,1,21,1600,18,15,14,16,12
2013,1,22,0800,19,19,15,18,15
2013,1,22,1200,18,18,15,17,16
2013,1,22,1600,17,13,12,15,15
2013,1,23,0800,21,16,21,19,19
2013,1,23,1200,24,17,23,21,20
2013,1,23,1600,25,19,24,21,22
2013,1,24,0800,23,21,25,24,24
2013,1,24,1200,20,20,23,23,24
2013,1,24,1600,21,20,24,22,24
2013,1,25,0800,23,19,23,23,24
2013,1,25,1200,25,20,24,24,24
2013,1,25,1600,26,19,24,24,24
2013,1,26,0800,22,23,22,27,26
2013,1,26,1200,21,21,22,26,27
2013,1,26,1600,19,21,21,25,28
2013,1,27,0800,25,24,24,29,27
2013,1,27,1200,26,23,23,29,26
2013,1,27,1600,29,23,24,24,25
2013,1,28,0800,25,23,22,26,26
2013,1,28,1200,24,23,23,25,26
2013,1,28,1600,22,24,23,24,27
2013,1,29,0800,26,25,26,29,28
2013,1,29,1200,26,25,27,28,28
2013,1,29,1600,27,26,28,29,28
2013,1,30,0800,29,31,32,31,33
2013,1,30,1200,29,32,33,31,34
2013,1,30,1600,28,33,33,32,34
2013,1,31,0800,27,31,28,29,30
2013,1,31,1200,26,31,28,28,30
2013,1,31,1600,26,30,27,28,30
2013,2,1,0800,23,27,25,26,30
2013,2,1,1200,23,26,25,26,29
2013,2,1,1600,23,27,25,26,29
2013,2,2,0800,23,28,25,25,28
2013,2,2,1200,23,28,25,25,28
2013,2,2,1600,24,28,25,25,28
2013,2,3,0800,26,24,24,30,23
2013,2,3,1200,23,24,22,30,21
2013,2,3,1600,22,18,21,23,18
2013,2,4,0800,20,20,18,16,19
2013,2,4,1200,21,20,17,16,19
2013,2,4,1600,18,23,17,16,20
2013,2,5,0800,17,17,13,15,15
2013,2,5,1200,17,17,14,16,16
2013,2,5,1600,17,17,13,17,15
2013,2,6,0800,19,15,16,20,14
2013,2,6,1200,22,17,20,19,16
2013,2,6,1600,23,17,22,19,17
2013,2,7,0800,21,24,25,23,24
2013,2,7,1200,19,24,21,25,25
2013,2,7,1600,20,25,20,26,26
2013,2,8,0800,28,24,23,21,25
2013,2,8,1200,31,23,26,20,25
2013,2,8,1600,33,24,27,16,25
2013,2,9,0800,27,16,21,18,26
2013,2,9,1200,23,14,18,17,25
2013,2,9,1600,21,15,18,23,24
2013,2,10,0800,25,20,18,31,25
2013,2,10,1200,27,20,18,33,24
2013,2,10,1600,26,20,16,29,22
2013,2,11,0800,14,11,10,11,11
2013,2,11,1200,14,11,10,10,11
2013,2,11,1600,15,15,11,12,12
2013,2,12,0800,23,18,16,15,14
2013,2,12,1200,23,18,16,15,13
2013,2,12,1600,25,13,16,12,13
2013,2,13,0800,22,13,14,13,16
2013,2,13,1200,21,12,14,14,16
2013,2,13,1600,21,12,15,15,17
2013,2,14,0800,23,25,21,19,21
2013,2,14,1200,24,27,23,20,22
2013,2,14,1600,24,28,22,20,22
2013,2,15,0800,21,15,15,14,15
2013,2,15,1200,19,17,14,13,13
2013,2,15,1600,18,17,14,18,12
2013,2,16,0800,17,16,15,18,13
2013,2,16,1200,20,16,17,13,14
2013,2,16,1600,21,15,17,14,15
2013,2,17,0800,22,13,19,15,15
2013,2,17,1200,21,12,18,15,15
2013,2,17,1600,20,13,18,14,15
2013,2,18,0800,25,14,22,19,24
2013,2,18,1200,27,15,23,19,25
2013,2,18,1600,30,16,23,20,26
2013,2,19,0800,26,16,21,20,21
2013,2,19,1200,27,16,21,20,21
2013,2,19,1600,25,15,22,21,19
2013,2,20,0800,25,16,26,24,20
2013,2,20,1200,24,17,28,24,20
2013,2,20,1600,25,18,27,25,21
2013,2,21,0800,23,18,21,23,21
2013,2,21,1200,24,17,21,22,20
2013,2,21,1600,25,16,22,21,22
2013,2,22,0800,27,21,26,22,23
2013,2,22,1200,27,22,26,22,24
2013,2,22,1600,28,22,26,25,25
2013,2,23,0800,30,22,30,33,27
2013,2,23,1200,31,22,31,32,27
2013,2,23,1600,30,22,29,30,25
2013,2,24,0800,23,25,22,32,19
2013,2,24,1200,21,23,18,30,17
2013,2,24,1600,18,18,18,25,15
2013,2,25,0800,19,14,14,25,19
2013,2,25,1200,18,13,15,24,18
2013,2,25,1600,17,12,16,19,16
2013,2,26,0800,21,19,19,28,19
2013,2,26,1200,21,19,19,28,19
2013,2,26,1600,20,13,19,17,14
2013,2,27,0800,19,17,16,20,15
2013,2,27,1200,18,16,16,17,15
2013,2,27,1600,19,16,17,18,15
2013,2,28,0800,22,19,20,22,15
2013,2,28,1200,21,16,20,20,16
2013,2,28,1600,30,15,20,30,16
2013,3,1,0800,34,16,19,40,18
2013,3,1,1200,32,16,19,37,18
2013,3,1,1600,27,25,20,28,22
2013,3,2,0800,28,33,21,33,24
2013,3,2,1200,25,31,19,28,24
2013,3,2,1600,22,19,17,22,23
2013,3,3,0800,22,20,16,27,18
2013,3,3,1200,22,18,16,23,16
2013,3,3,1600,20,15,15,17,16
2013,3,4,0800,20,17,19,18,18
2013,3,4,1200,20,17,21,19,20
2013,3,4,1600,22,17,23,20,21
2013,3,5,0800,27,20,33,26,28
2013,3,5,1200,27,21,34,27,29
2013,3,5,1600,27,23,34,27,30
2013,3,6,0800,30,29,32,32,33
2013,3,6,1200,31,29,32,34,34
2013,3,6,1600,31,29,32,34,33
2013,3,7,0800,30,24,27,30,32
2013,3,7,1200,30,24,25,29,30
2013,3,7,1600,26,27,25,26,29
2013,3,8,0800,26,17,23,27,30
2013,3,8,1200,26,17,24,26,28
2013,3,8,1600,24,17,24,24,26
2013,3,9,0800,25,21,26,24,28
2013,3,9,1200,26,22,27,26,28
2013,3,9,1600,29,24,29,28,30
2013,3,10,0800,29,23,28,31,31
2013,3,10,1200,28,23,26,31,33
2013,3,10,1600,27,22,26,30,33
2013,3,11,0800,29,29,26,33,37
2013,3,11,1200,27,27,26,33,34
2013,3,11,1600,28,24,26,30,29
2013,3,12,0800,30,26,27,33,32
2013,3,12,1200,30,27,27,32,31
2013,3,12,1600,28,27,27,34,31
2013,3,13,0800,33,23,25,39,28
2013,3,13,1200,32,22,26,36,27
2013,3,13,1600,30,24,26,33,28
2013,3,14,0800,34,24,26,44,31
2013,3,14,1200,32,23,25,43,30
2013,3,14,1600,31,23,26,36,30
2013,3,15,0800,28,25,27,40,31
2013,3,15,1200,27,23,27,35,30
2013,3,15,1600,25,21,25,27,27
2013,3,16,0800,26,18,19,26,24
2013,3,16,1200,26,16,19,24,23
2013,3,16,1600,24,16,18,24,23
2013,3,17,0800,20,21,19,21,21
2013,3,17,1200,20,20,19,20,20
2013,3,17,1600,21,15,20,22,18
2013,3,18,0800,23,17,20,24,20
2013,3,18,1200,24,18,20,24,21
2013,3,18,1600,24,23,19,23,23
2013,3,19,0800,27,18,18,27,26
2013,3,19,1200,26,18,18,26,23
2013,3,19,1600,26,28,19,27,28
2013,3,20,0800,24,21,20,32,32
2013,3,20,1200,25,20,20,26,30
2013,3,20,1600,26,20,20,28,27
2013,3,21,0800,31,20,25,39,36
2013,3,21,1200,31,20,25,39,35
2013,3,21,1600,23,24,22,31,29
2013,3,22,0800,29,26,23,35,38
2013,3,22,1200,29,25,22,35,37
2013,3,22,1600,19,15,17,25,21
2013,3,23,0800,30,16,21,29,22
2013,3,23,1200,31,14,22,31,24
2013,3,23,1600,34,16,23,35,25
2013,3,24,0800,21,19,19,31,27
2013,3,24,1200,19,19,19,30,25
2013,3,24,1600,21,16,18,26,25
2013,3,25,0800,28,21,23,32,30
2013,3,25,1200,29,19,25,31,28
2013,3,25,1600,32,27,29,25,29
2013,3,26,0800,38,36,35,34,38
2013,3,26,1200,40,34,35,35,36
2013,3,26,1600,40,28,36,39,33
2013,3,27,0800,46,39,41,46,37
2013,3,27,1200,51,43,44,51,39
2013,3,27,1600,53,43,45,51,39
2013,3,28,0800,51,51,51,45,48
2013,3,28,1200,46,47,47,41,44
2013,3,28,1600,42,47,43,42,43
2013,3,29,0800,49,44,32,43,41
2013,3,29,1200,51,49,36,47,45
2013,3,29,1600,51,51,37,45,46
2013,3,30,0800,39,45,39,42,35
2013,3,30,1200,34,42,35,38,32
2013,3,30,1600,35,36,33,35,33
2013,3,31,0800,36,30,25,36,39
2013,3,31,1200,37,29,24,37,32
2013,3,31,1600,35,31,25,36,37
2013,4,1,0800,30,27,30,32,38
2013,4,1,1200,30,28,30,29,31
2013,4,1,1600,27,26,23,24,23
2013,4,2,0800,35,29,26,28,27
2013,4,2,1200,35,29,27,30,28
2013,4,2,1600,34,29,26,30,28
2013,4,3,0800,29,29,27,28,28
2013,4,3,1200,28,26,26,25,27
2013,4,3,1600,29,27,30,25,32
2013,4,4,0800,33,26,31,24,37
2013,4,4,1200,33,29,31,22,34
2013,4,4,1600,36,30,32,22,28
2013,4,5,0800,39,42,33,33,35
2013,4,5,1200,37,41,33,33,35
2013,4,5,1600,38,43,33,32,35
2013,4,6,0800,34,32,26,22,33
2013,4,6,1200,38,33,25,22,33
2013,4,6,1600,37,27,22,21,23
2013,4,7,0800,33,23,20,17,20
2013,4,7,1200,29,22,20,18,20
2013,4,7,1600,27,24,21,19,25
2013,4,8,0800,34,35,31,30,30
2013,4,8,1200,37,35,34,30,32
2013,4,8,1600,42,37,36,31,34
2013,4,9,0800,47,42,43,29,40
2013,4,9,1200,51,48,47,35,43
2013,4,9,1600,50,49,46,38,43
2013,4,10,0800,40,44,37,41,40
2013,4,10,1200,33,36,30,36,36
2013,4,10,1600,28,30,28,31,33
2013,4,11,0800,27,23,24,26,23
2013,4,11,1200,27,24,26,26,23
2013,4,11,1600,25,24,26,21,24
2013,4,12,0800,26,26,28,30,28
2013,4,12,1200,24,25,26,30,27
2013,4,12,1600,26,26,25,25,27
2013,4,13,0800,27,34,23,39,30
2013,4,13,1200,29,32,20,39,27
2013,4,13,1600,29,22,22,27,16
2013,4,14,0800,36,29,31,32,26
2013,4,14,1200,36,29,30,30,26
2013,4,14,1600,30,30,29,29,27
2013,4,15,0800,25,26,22,27,23
2013,4,15,1200,27,28,23,28,28
2013,4,15,1600,28,32,26,29,31
2013,4,16,0800,39,39,33,31,37
2013,4,16,1200,37,41,33,33,34
2013,4,16,1600,35,39,34,34,33
2013,4,17,0800,43,38,36,37,31
2013,4,17,1200,39,37,36,38,32
2013,4,17,1600,33,33,31,35,31
2013,4,18,0800,35,33,29,34,31
2013,4,18,1200,38,35,30,34,32
2013,4,18,1600,43,40,30,36,35
2013,4,19,0800,41,41,38,33,33
2013,4,19,1200,35,40,37,32,30
2013,4,19,1600,37,43,28,31,32
2013,4,20,0800,56,59,52,53,53
2013,4,20,1200,59,59,54,54,54
2013,4,20,1600,57,55,52,53,52
2013,4,21,0800,37,30,26,35,25
2013,4,21,1200,33,26,23,32,22
2013,4,21,1600,31,25,22,30,19
2013,4,22,0800,32,22,26,22,23
2013,4,22,1200,33,23,26,20,25
2013,4,22,1600,36,34,29,25,28
2013,4,23,0800,40,37,40,32,35
2013,4,23,1200,41,41,40,37,35
2013,4,23,1600,41,41,34,39,35
2013,4,24,0800,47,44,34,52,36
2013,4,24,1200,47,41,34,51,34
2013,4,24,1600,47,40,34,52,33
2013,4,25,0800,50,34,34,43,27
2013,4,25,1200,52,37,37,45,31
2013,4,25,1600,51,35,34,45,29
2013,4,26,0800,41,26,30,38,25
2013,4,26,1200,33,20,26,33,20
2013,4,26,1600,33,22,29,28,24
2013,4,27,0800,37,35,43,27,37
2013,4,27,1200,41,36,42,28,35
2013,4,27,1600,41,36,39,31,34
2013,4,28,0800,41,42,36,36,34
2013,4,28,1200,38,42,37,35,35
2013,4,28,1600,33,39,34,33,31
2013,4,29,0800,24,19,23,34,15
2013,4,29,1200,25,16,23,36,14
2013,4,29,1600,29,17,20,28,15
2013,4,30,0800,25,18,20,25,16
2013,4,30,1200,24,17,18,25,15
2013,4,30,1600,21,23,24,49,15
2013,5,1,0800,29,27,37,48,17
2013,5,1,1200,32,26,36,38,17
2013,5,1,1600,33,21,33,28,17
2013,5,2,0800,32,25,22,21,18
2013,5,2,1200,31,26,24,21,18
2013,5,2,1600,32,25,24,24,19
2013,5,3,0800,33,22,18,29,17
2013,5,3,1200,35,23,17,27,16
2013,5,3,1600,34,23,17,27,15
2013,5,4,0800,28,23,17,26,15
