Year,Month,Total Rainfall (Millimetre),Maximum Rainfall In A Day (Millimetre),Number Of Rainy Days (Number),Bright Sunshine Daily Mean Hours (Hour)
1975,Jan,121,41,13,6.2
1975,Feb,98.6,38,13,4.8
1975,Mar,197.9,40,18,5.8
1975,Apr,79.7,16.7,17,5.7
1975,May,104.6,49,13,5.6
1975,Jun,212.8,71,14,4.9
1975,Jul,192.5,54.2,15,6.1
1975,Aug,177,62,17,6
1975,Sep,146.5,45.1,13,5.5
1975,Oct,169.8,52.1,20,4.4
1975,Nov,298.4,58,23,3.4
1975,Dec,126.6,31,19,4.9
1976,Jan,44.3,34.5,3,7.4
1976,Feb,89.5,62.7,6,7.8
1976,Mar,122.5,51.8,11,6
1976,Apr,277.4,73.4,13,5.3
1976,May,138,28.1,14,6.8
1976,Jun,100.1,42.1,11,6.4
1976,Jul,242.5,83.8,15,6.1
1976,Aug,150.5,57.1,15,6.8
1976,Sep,217.9,76.5,16,5.9
1976,Oct,243.2,69.5,18,4.5
1976,Nov,237.1,56.3,21,4.2
1976,Dec,303.6,72.5,18,5.3
1977,Jan,52,25.4,6,7.3
1977,Feb,196,93.5,15,3.7
1977,Mar,25.9,10.3,5,7.5
1977,Apr,16.6,9.4,5,6.7
1977,May,117.7,40.8,9,6.4
1977,Jun,201.5,37.8,13,5.3
1977,Jul,118.9,28.5,12,6.5
1977,Aug,217,64.9,16,5.2
1977,Sep,216.9,40.4,16,5.1
1977,Oct,56.3,27.6,8,6
1977,Nov,356.4,54.1,19,3.8
1977,Dec,199.5,63.8,17,5.4
1978,Jan,315.4,86.2,15,5.6
1978,Feb,93.1,23.6,8,7.3
1978,Mar,187.7,50.5,13,6.1
1978,Apr,146.1,45.2,14,6.6
1978,May,174.7,29.8,17,5.2
1978,Jun,197,34.3,19,5.7
1978,Jul,167.1,53.8,9,5.8
1978,Aug,129.8,42.2,11,5.6
1978,Sep,185.1,61.7,16,4.8
1978,Oct,143.2,44.6,15,4.4
1978,Nov,357,116.9,19,3.8
1978,Dec,669.8,512.4,15,5.2
1979,Jan,74.3,26.2,9,7.5
1979,Feb,97.5,39.8,8,7.5
1979,Mar,132.9,25.1,13,6
1979,Apr,282.1,40,20,4.5
1979,May,162.5,43.6,13,6
1979,Jun,173.2,64.6,13,5.2
1979,Jul,206.1,53,17,5.5
1979,Aug,134.7,62.7,7,7.5
1979,Sep,171.6,29.4,16,5.6
1979,Oct,299,90.6,15,4.3
1979,Nov,309.4,72.2,23,3
1979,Dec,124.8,48.9,14,5.9
